,aed_phytoplankton_micro,aed_phytoplankton_chloro,aed_phytoplankton_diatom,aed_phytoplankton_total
2009-04-14 12:00:00,9.95488577302972,9.9089454853251,9.93923884429223,29.803070102647
2009-04-15 00:00:00,9.9262035047376,9.83131871277207,9.8946288739528,29.6521510914625
2009-04-15 12:00:00,9.90190793439751,9.75625744531728,9.85838778665921,29.516553166374
2009-04-16 00:00:00,9.87952812751428,9.68531775587857,9.82217517372295,29.3870210571158
2009-04-16 12:00:00,9.81676593628035,9.58093720866116,9.74545496736865,29.1431581123102
2009-04-17 00:00:00,9.79889507199799,9.51527778508996,9.71005103522417,29.0242238923121
2009-04-17 12:00:00,9.7546836782248,9.42614509898915,9.6522035634651,28.8330323406791
2009-04-18 00:00:00,9.74475459911588,9.36722071438176,9.62859786132932,28.740573174827
2009-04-18 12:00:00,9.65517746623529,9.24429911680908,9.52157525973379,28.4210518427782
2009-04-19 00:00:00,9.63499395455629,9.17831947790931,9.49056856320627,28.3038819956719
2009-04-19 12:00:00,9.5773783085975,9.08128529422634,9.42102860007219,28.079692202896
2009-04-20 00:00:00,9.51241685683142,8.98071619612471,9.34088243456142,27.8340154875175
2009-04-20 12:00:00,9.44979274385346,8.88146763349886,9.26277589655895,27.5940362739113
2009-04-21 00:00:00,9.40822193328856,8.79919363555476,9.20778040542691,27.4151959742702
2009-04-21 12:00:00,9.35221253509895,8.70589597371114,9.13873204242286,27.196840551233
2009-04-22 00:00:00,9.31565228419787,8.62814561517992,9.08981866151623,27.033616560894
2009-04-22 12:00:00,9.26613228401957,8.54104454863752,9.02678819134418,26.8339650240013
2009-04-23 00:00:00,9.23989431409129,8.47302650444716,8.98762715216883,26.7005479707073
2009-04-23 12:00:00,9.17858730488692,8.3781560292583,8.91389248271511,26.4706358168603
2009-04-24 00:00:00,9.1443583133718,8.30483689665763,8.86675431886588,26.3159495288953
2009-04-24 12:00:00,9.08800662082689,8.21499204783325,8.79877118782271,26.1017698564829
2009-04-25 00:00:00,9.05733836946601,8.14517856103334,8.75497146515223,25.9574883956516
2009-04-25 12:00:00,8.99220806186704,8.05104866208494,8.67774011750469,25.7209968414567
2009-04-26 00:00:00,8.93580098515264,7.96365464898145,8.61062793119322,25.5100835653273
2009-04-26 12:00:00,8.88474695148683,7.87839905398038,8.5532060125299,25.3163520179971
2009-04-27 00:00:00,8.83070263668116,7.79528750596466,8.48470824549438,25.1106983881402
2009-04-27 12:00:00,8.76540205951938,7.70129424297069,8.40926400764114,24.8759603101312
2009-04-28 00:00:00,8.72010408316817,7.62414209951815,8.35431268146765,24.698558864154
2009-04-28 12:00:00,8.65907563178676,7.53292905257372,8.28363636285039,24.4756410472109
2009-04-29 00:00:00,8.62610222915048,7.46596884235471,8.23859458086977,24.330665652375
2009-04-29 12:00:00,8.57163347572669,7.38105289882283,8.17644960230034,24.1291359768499
2009-04-30 00:00:00,8.51652207180744,7.29934399618608,8.111719568164,23.9275856361575
2009-04-30 12:00:00,8.46972499519903,7.22294759299527,8.06029523149896,23.7529678196933
2009-05-01 00:00:00,8.41373671120215,7.14230926101972,7.99067571168124,23.5467216839031
2009-05-01 12:00:00,8.35406998098984,7.05834642761124,7.92066937402468,23.3330857826258
2009-05-02 00:00:00,8.319856275783,6.99292724265802,7.87616743101269,23.1889509494537
2009-05-02 12:00:00,8.28147380436958,6.92410008626001,7.83005996511164,23.0356338557412
2009-05-03 00:00:00,8.24393551633603,6.85825963727456,7.78141123969087,22.8836063933015
2009-05-03 12:00:00,8.21443709541367,6.79637824063176,7.7445623256344,22.7553776616798
2009-05-04 00:00:00,8.19938210810685,6.7467308798572,7.72031065284955,22.6664236408136
2009-05-04 12:00:00,8.1538981411084,6.67583484030048,7.66897873069581,22.4987117121047
2009-05-05 00:00:00,8.12897360605028,6.6196678083816,7.63319470893614,22.381836123368
2009-05-05 12:00:00,8.04805992435424,6.52585843434727,7.54513132105807,22.1190496797596
2009-05-06 00:00:00,8.01677558075234,6.46607666236667,7.50641992158701,21.989272164706
2009-05-06 12:00:00,7.96002826996756,6.38973263936151,7.44323349616155,21.7929944054906
2009-05-07 00:00:00,7.92962967981782,6.33188041290276,7.40667494489865,21.6681850376192
2009-05-07 12:00:00,7.91135375342714,6.28034243139067,7.38291021417348,21.5746063989913
2009-05-08 00:00:00,7.85024327594063,6.20368414779241,7.31352662946342,21.3674540531965
2009-05-08 12:00:00,7.77772985943231,6.11972005462431,7.23408217840081,21.1315320924574
2009-05-09 00:00:00,7.87932378629844,6.14755870933424,7.33144679832729,21.35832929396
2009-05-09 12:00:00,7.67025327475857,5.97735240370894,7.1114458975592,20.7590515760267
2009-05-10 00:00:00,7.62492970868002,5.91215144959456,7.06010128046666,20.5971824387412
2009-05-10 12:00:00,7.56279489651576,5.83609938347069,6.99317962938582,20.3920739093723
2009-05-11 00:00:00,7.54130569917289,5.78693813802201,6.96744107034447,20.2956849075394
2009-05-11 12:00:00,7.4540269603228,5.6964042341976,6.87513595336936,20.0255671478898
2009-05-12 00:00:00,7.4805818038062,5.68073894685912,6.89021770080282,20.0515384514681
2009-05-12 12:00:00,7.37645587355167,5.57960282407361,6.78241152709646,19.7384702247217
2009-05-13 00:00:00,7.33048841123241,5.51792213581556,6.72706344753506,19.575473994583
2009-05-13 12:00:00,7.25001332289084,5.43523329810321,6.6415267832577,19.3267734042517
2009-05-14 00:00:00,7.19295688431078,5.36722420584417,6.58070659953219,19.1408876896871
2009-05-14 12:00:00,7.14888706713395,5.30662300424338,6.53244106938826,18.9879511407656
2009-05-15 00:00:00,7.19140804792708,5.30077933353539,6.56653723892026,19.0587246203827
2009-05-15 12:00:00,7.08244046989982,5.20120414522262,6.4580017733476,18.74164638847
2009-05-16 00:00:00,7.03190734069658,5.13899864852252,6.40672785126302,18.5776338404821
2009-05-16 12:00:00,6.94091016295211,5.05261822916876,6.30976523144318,18.3032936235641
2009-05-17 00:00:00,6.90469935665848,5.00043427802385,6.26622269400875,18.1713563286911
2009-05-17 12:00:00,6.83624172065684,4.92872590116251,6.19432412846472,17.9592917502841
2009-05-18 00:00:00,6.95801720463875,4.97132981712765,6.30332436047425,18.2326713822406
2009-05-18 12:00:00,6.76379786789159,4.82612095017229,6.11260653333702,17.7025253514009
