time,Volume,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evapouration,Rain,Lake Level,Surface Area,Black Ice,Snow,White Ice,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,LakeNumber,Max dT/dz
2009-04-14 24:00:00,  511833.955027,     288.821130,     343.697145,       0.000000,     -66.917827,       0.000000,      24.546916,      38.873779,       0.000000,       0.000000,       0.000000,       5.131275,       5.092586,       5.131275,726822857.598418,-164149429.429583,59212096.194265,-173969728.591878,       0.000000,      -0.000229,       0.260423
2009-04-15 24:00:00,  511720.590568,     269.248330,     320.405512,       0.000000,     -60.051835,       0.000000,      24.544101,      38.869320,       0.000000,       0.000000,       0.000000,       5.440671,       5.035969,       5.440671,832172166.968175,-147307151.279077,83314114.504801,-178935292.535840,       0.000000,       0.038163,       0.077298
2009-04-16 24:00:00,  511624.192302,     273.737841,     325.748031,       0.000000,     -42.845523,       0.000000,      24.541707,      38.865529,       0.000000,       0.000000,       0.000000,       5.731684,       5.035979,       5.731684,891430399.960030,-105100068.738500,106110162.018776,-162141111.471901,       0.000000,       0.036760,       0.086089
2009-04-17 24:00:00,  511528.976453,     273.395317,     325.340427,       0.000000,     -41.762954,       0.000000,      24.539342,      38.861784,       0.000000,       0.000000,       0.000000,       6.243766,       5.054415,       6.243766,886866450.120860,-102444527.149957,143484331.676911,-120336504.946667,       0.000000,       0.030271,       0.128243
2009-04-18 24:00:00,  511479.497930,     270.740756,     322.181500,       0.000000,     -17.847936,      19.741519,      24.538113,      38.859838,       0.000000,       0.000000,       0.000000,       6.317816,       5.096864,       6.317816,457249264.839753,-43780987.281949,154294514.516912, 2034843.977508,       0.000000,       0.062057,       0.115076
2009-04-19 24:00:00,  512126.458227,     292.613360,     348.209898,       0.000000,      -3.067836,     681.271944,      24.554180,      38.885282,       0.000000,       0.000000,       0.000000,       6.326945,       5.171605,       6.326945,147543160.264116,-7525400.559720,27033854.130619,-56028463.100015,       0.244530,      -0.000668,       0.072770
2009-04-20 24:00:00,  512238.118213,     353.656030,     420.850676,       0.000000,     -54.461030,     227.187298,      24.556953,      38.889673,       0.000000,       0.000000,       0.000000,       6.362423,       6.256613,       6.362423,495371990.934416,-133592907.579781,-53783971.135923,-152774181.626604,       0.366888,      -0.000044,       0.261357
2009-04-21 24:00:00,  512383.829766,     431.213250,     513.143768,       0.000000,     -56.742619,     276.615287,      24.560571,      38.895404,       0.000000,       0.000000,       0.000000,       6.301373,       6.222294,       6.301373,398499324.150157,-139189645.624420,-98757412.785560,-172467972.053155,       0.000000,      -0.000196,       0.262384
2009-04-22 24:00:00,  512222.591236,     450.700419,     536.333499,       0.000000,     -73.025906,       0.000000,      24.556567,      38.889063,       0.000000,       0.000000,       0.000000,       6.479692,       6.281994,       6.479692,854694818.565410,-179132547.952260,82152317.523650,-191187926.858303,       0.000000,      -0.001204,       0.347148
2009-04-23 24:00:00,  512124.924690,     378.709214,     450.663965,       0.000000,     -44.586521,      19.755230,      24.554142,      38.885222,       0.000000,       0.000000,       0.000000,       6.654877,       6.607702,       6.654877,556263372.170090,-109370734.980707,126613495.395281,-91109969.488787,       0.000000,      -0.000548,       0.398454
2009-04-24 24:00:00,  512069.741376,     288.417441,     343.216755,       0.000000,      -0.370815,       0.000000,      24.552771,      38.883052,       0.000000,       0.000000,       0.000000,       7.227016,       7.157908,       7.227016,752293298.231041, -909609.081144,471323529.023111,57343731.187469,       0.000000,      -0.000082,       0.260481
2009-04-25 24:00:00,  513976.852511,     370.195046,     440.532105,       0.000000,      -6.841707,    1917.686752,      24.600132,      38.958053,       0.000000,       0.000000,       0.000000,       7.346101,       7.224982,       7.346101,60510608.592100,-16782707.509899,92704746.981565,10845264.178821,       0.245025,   -7176.469262,       0.262030
2009-04-26 24:00:00,  514547.411595,     861.203200,    1024.831808,       0.000000,      -4.842918,     712.668569,      24.614247,      38.980407,       0.000000,       0.000000,       0.000000,       7.583139,       7.187798,       7.583139,259709214.535960,-11879678.451950,142681541.730856, -660819.673591,       0.000000,  -27734.983791,       0.339064
2009-04-27 24:00:00,  514324.139632,    1205.684480,    1434.764531,       0.000000,      -4.299901,       9.901023,      24.608723,      38.971660,       0.000000,       0.000000,       0.000000,       7.854758,       7.549468,       7.854758,334218018.844900,-10547656.530464,190850162.487680,32151396.738182,       0.000000,  -51190.964639,       0.317659
2009-04-28 24:00:00,  514070.770137,     950.467401,    1131.056207,       0.000000,     -70.169403,       0.000000,      24.602455,      38.961733,       0.000000,       0.000000,       0.000000,       8.014908,       7.603612,       8.014908,846014352.652768,-172125546.758214,40151358.937250,-185246920.453288,       0.000000, -572028.345032,       0.058222
2009-04-29 24:00:00,  513949.195025,     547.487915,     651.510619,       0.000000,     -16.918790,       0.000000,      24.599445,      38.956966,       0.000000,       0.000000,       0.000000,       8.030281,       7.804272,       8.030281,371390021.642234,-41501792.160549,30263021.500941,-118051810.917480,       0.490666,      -0.008848,       0.333871
2009-04-30 24:00:00,  514278.376387,     370.146114,     440.473876,       0.000000,      -0.783014,     385.965232,      24.607591,      38.969867,       0.000000,       0.000000,       0.000000,       8.215598,       7.924267,       8.215598,396742920.425654,-1920733.770303,96758695.190560,-30678161.820355,       0.000000, -122327.229511,       0.083238
2009-05-01 24:00:00,  514147.626517,     383.186492,     455.991925,       0.000000,     -55.863282,       0.000000,      24.604356,      38.964744,       0.000000,       0.000000,       0.000000,       8.082854,       7.973750,       8.082854,640934259.875918,-137032631.443058,87201683.658823,-809386134.829937,       0.000000,   -6840.980616,       0.262233
2009-05-02 24:00:00,  513982.451154,     366.806505,     436.499741,       0.000000,     -92.038990,       0.000000,      24.600270,      38.958273,       0.000000,       0.000000,       0.000000,       8.281096,       7.932033,       8.281096,862822885.131868,-225771643.636459,114359607.542025,-187920967.909517,       0.000000,  -42134.938894,       0.297713
2009-05-03 24:00:00,  513844.930212,     331.171776,     394.094413,       0.000000,     -72.129740,       0.000000,      24.596856,      38.952866,       0.000000,       0.000000,       0.000000,       8.864415,       8.137139,       8.864415,937179246.065872,-176934253.075319,122134417.886813,-173484964.368219,       0.000000,       0.077099,       0.051169
2009-05-04 24:00:00,  513737.024194,     311.672374,     370.890124,       0.000000,     -47.097196,       0.000000,      24.594176,      38.948622,       0.000000,       0.000000,       0.000000,       9.067955,       8.137139,       9.067955,784348905.205511,-115529422.497673,109659085.623745,-124992184.257245,       0.000000,       0.328704,       0.073252
2009-05-05 24:00:00,  513636.541999,     293.371806,     349.112449,       0.000000,     -43.274811,       0.000000,      24.591681,      38.944670,       0.000000,       0.000000,       0.000000,       9.172975,       8.137150,       9.172975,503405624.933831,-106153112.396210,154656208.747209,-56964374.174837,       0.000000,       0.045101,       0.099113
2009-05-06 24:00:00,  514107.332386,     299.402675,     356.289183,       0.000000,      -4.747687,     514.484245,      24.603360,      38.963165,       0.000000,       0.000000,       0.000000,       9.485638,       8.137220,       9.485638,492527208.330894,-11646075.064027,126000204.892706,-21544240.162446,       0.000000,  -90917.650220,       0.052942
2009-05-07 24:00:00,  514018.109317,     356.958940,     424.781139,       0.000000,     -20.629053,       0.000000,      24.601152,      38.959670,       0.000000,       0.000000,       0.000000,       9.855840,       8.137311,       9.855840,739667092.353794,-50603068.149233,168663675.260548,-47481359.374917,       0.000000, -387764.535041,       0.052942
2009-05-08 24:00:00,  514183.698249,     390.966680,     465.250349,       0.000000,     -16.190800,     247.410019,      24.605249,      38.966157,       0.000000,       0.000000,       0.000000,      10.919831,       8.137360,      10.919831,764354167.482078,-39716032.593735,74392456.647627,-65948452.353427,       0.122973,  -93112.880729,       0.126134
2009-05-09 24:00:00,  514996.880868,     608.958740,     724.660901,       0.000000,     -34.926803,     930.625684,      24.625367,      38.998017,       0.000000,       0.000000,       0.000000,      10.070704,       8.137722,      10.070704,336319167.406578,-85675447.929093,-6580329.777109,-107311634.045302,       0.000000, -173684.590799,       0.050422
2009-05-10 24:00:00,  514786.941192,     823.525560,     979.995416,       0.000000,     -51.586724,       0.000000,      24.620173,      38.989792,       0.000000,       0.000000,       0.000000,      10.220215,       8.139568,      10.220215,589130532.977495,-126542235.033009,-1345780.654173,-157999191.220243,       0.000000, -523687.556336,       0.050422
2009-05-11 24:00:00,  514619.765484,     642.795218,     764.926304,       0.000000,     -43.449261,       0.000000,      24.616037,      38.983242,       0.000000,       0.000000,       0.000000,      10.584009,       8.140505,      10.584009,878903974.293365,-106581037.098728,11447575.780058,-215122485.532319,       0.000000, -213147.137902,       0.050422
2009-05-12 24:00:00,  514437.848944,     401.719487,     478.046190,       0.000000,    -101.830047,       0.000000,      24.611537,      38.976115,       0.000000,       0.000000,       0.000000,      10.562563,       8.167011,      10.562563,897226917.061981,-249789104.281802,185681577.610493,-148616616.540759,       0.000000, -188987.280234,       0.050422
2009-05-13 24:00:00,  515519.210169,     352.469429,     419.438621,       0.000000,      -1.498124,    1109.148004,      24.638289,      39.018482,       0.000000,       0.000000,       0.000000,      10.666814,       8.346649,      10.666814,156224113.125810,-3674899.014027,120284164.685032, 8220559.037596,       0.000000,  -89717.013295,       0.471876
2009-05-14 24:00:00,  515342.641444,     571.281100,     679.824509,       0.000000,     -65.663606,       0.000000,      24.633921,      39.011564,       0.000000,       0.000000,       0.000000,      11.168163,       8.556998,      11.168163,952438781.138493,-161072825.334809,63749505.012853,-170161737.413937,       0.000000, -178039.659938,       0.471790
2009-05-15 24:00:00,  515213.558233,     727.435345,     865.648061,       0.000000,     -11.006596,      19.817803,      24.630728,      39.006507,       0.000000,       0.000000,       0.000000,      11.206454,       8.635007,      11.206454,296599449.489935,-26999179.899167,51055954.171072,-52703094.284130,       0.000000, -247106.014023,       0.471790
2009-05-16 24:00:00,  514981.862480,     556.466937,     662.195655,       0.000000,    -121.553040,       0.000000,      24.624995,      38.997429,       0.000000,       0.000000,       0.000000,      11.176542,       8.921883,      11.176542,936706856.049731,-298169607.809831,-30293760.886008,-249603476.134252,       0.000000, -186933.605284,       0.471790
2009-05-17 24:00:00,  514818.172625,     386.880858,     460.388221,       0.000000,     -87.003628,       0.000000,      24.620946,      38.991016,       0.000000,       0.000000,       0.000000,      11.944422,       8.960523,      11.944422,1008521037.673119,-213419898.268778,-19135993.548013,-295067901.989701,       0.000000,  -97711.627668,       0.471790
2009-05-18 24:00:00,  514625.879339,     306.999368,     365.329248,       0.000000,    -129.217316,       0.000000,      24.616188,      38.983482,       0.000000,       0.000000,       0.000000,      11.287969,       9.137658,      11.287969,504195147.898720,-316970075.257200,67292146.109904,-164794736.552004,       0.000000,  -98410.486259,       0.071336
2009-05-19 24:00:00,  514538.607476,     296.185396,     352.460621,       0.000000,     -29.894199,       0.000000,      24.614029,      38.980063,       0.000000,       0.000000,       0.000000,      11.786953,       9.327939,      11.786953,953841224.602055,-73330469.510830,261245545.887478,-80934518.159385,       0.000000, -100255.526549,       0.471040
2009-05-20 24:00:00,  514424.242854,     288.833363,     343.711702,       0.000000,     -57.364739,       0.000000,      24.611200,      38.975582,       0.000000,       0.000000,       0.000000,      12.220432,       9.622446,      12.220432,967011557.158219,-140715705.926971,370571638.678773,-55447038.528428,       0.000000, -182438.915060,       0.471040
2009-05-21 24:00:00,  514342.362325,     298.766559,     355.532205,       0.000000,     -24.216787,       0.000000,      24.609174,      38.972374,       0.000000,       0.000000,       0.000000,      12.808287,       9.707251,      12.808287,757043589.811618,-59403778.631399,190163638.346081,-50778267.179469,       0.000000, -312722.911386,       0.471040
2009-05-22 24:00:00,  514324.297220,     305.714903,     363.800734,       0.000000,     -30.707579,      69.293340,      24.608727,      38.971666,       0.000000,       0.000000,       0.000000,      13.466052,       9.728023,      13.466052,671689780.078423,-75325690.322980,58154206.088659,-79259995.573933,       0.000000, -196882.363865,       0.073948
2009-05-23 24:00:00,  514506.671996,     273.052793,     324.932824,       0.000000,     -11.713654,     237.587175,      24.613239,      38.978811,       0.000000,       0.000000,       0.000000,      13.854167,       9.742033,      13.854167,523073720.353591,-28733593.378034,47193597.132435,-50661235.044940,       0.000000, -875615.449077,       0.471040
